index;Country Code;Short Name;Table Name;Long Name;2-alpha code;Currency Unit;Special Notes;Region;Income Group;WB-2 code;National accounts base year;National accounts reference year;SNA price valuation;Lending category;Other groups;System of National Accounts;Alternative conversion factor;PPP survey year;Balance of Payments Manual in use;External debt Reporting status;System of trade;Government Accounting concept;IMF data dissemination standard;Latest population census;Latest household survey;Source of most recent Income and expenditure data;Vital registration complete;Latest agricultural census;Latest industrial data;Latest trade data;Latest water withdrawal data
11;AZE;Azerbaijan;Azerbaijan;Republic of Azerbaijan;AZ;New Azeri manat;April 2012 database update: National accounts historical expenditure series in constant prices were revised in line with State Statistical Committee data that were not previously available.;Europe & Central Asia;"Upper middle income; based on FY13 income classifications.";AZ;2000;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;1992–95;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2009;Demographic and Health Survey (DHS), 2006;Living Standards Measurement Study Survey (LSMS), 2011/12;Yes;2015;2011;2013;2012
12;BHR;Bahrain;Bahrain;Kingdom of Bahrain;BH;Bahraini dinar;"Based on official government statistics; the new base year is 2010.";Middle East & North Africa;"High income: nonOECD; based on FY13 income classifications.";BH;2010;;Value added at producer prices (VAP);;;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2010;;;Yes;;2010;2011;2003
13;BGD;Bangladesh;Bangladesh;People's Republic of Bangladesh;BD;Bangladeshi taka;"Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2005/06.";South Asia;"Low income; based on FY13 income classifications.";BD;2005/06;;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Estimate;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2011;"Demographic and Health Survey (DHS), 2014; HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014";Integrated household survey (IHS), 2010;;2008;;2007;2008
14;BRB;Barbados;Barbados;Barbados;BB;Barbados dollar;;Latin America & Caribbean;"High income: nonOECD; based on FY13 income classifications.";BB;1974;;Value added at basic prices (VAB);;;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2010;Multiple Indicator Cluster Survey (MICS), 2012;;Yes;2010. Population and Housing Census.;;2013;2005
15;BLR;Belarus;Belarus;Republic of Belarus;BY;Belarusian rubel;;Europe & Central Asia;"Upper middle income; based on FY13 income classifications.";BY;Original chained constant price data are rescaled.;2000;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;1990–95;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2009;Multiple Indicator Cluster Survey (MICS), 2012;Integrated household survey (IHS), 2013;Yes;;2011;2013;2000
16;BEL;Belgium;Belgium;Kingdom of Belgium;BE;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";BE;2005;;Value added at basic prices (VAB);;Euro area;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;Integrated household survey (IHS), 2000;Yes;2010;2010;2013;2007
17;BLZ;Belize;Belize;Belize;BZ;Belize dollar;;Latin America & Caribbean;"Lower middle income; based on FY13 income classifications.";BZ;2000;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2010;Multiple Indicator Cluster Survey (MICS), 2011;Labor force survey (LFS), 1999;;;;2013;2000
18;BEN;Benin;Benin;Republic of Benin;BJ;CFA franc;;Sub-Saharan Africa;"Low income; based on FY13 income classifications.";BJ;1985;;Value added at producer prices (VAP);IDA;HIPC;Country uses the 1968 System of National Accounts methodology.;1992;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2013;Multiple Indicator Cluster Survey (MICS), 2014;Core Welfare Indicator Questionnaire Survey (CWIQ), 2011/12;;2011/12;;2013;2001
19;BMU;Bermuda;Bermuda;The Bermudas;BM;Bermuda dollar;;North America;"High income: nonOECD; based on FY13 income classifications.";BM;2006;;Value added at basic prices (VAB);;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;;;2010;;;Yes;;;2013;
20;BTN;Bhutan;Bhutan;Kingdom of Bhutan;BT;Bhutanese ngultrum;April 2013 database update: Data were updated using the government of Bhutan macroeconomic framework.;South Asia;"Lower middle income; based on FY13 income classifications.";BT;2000;;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2005;Multiple Indicator Cluster Survey (MICS), 2010;Integrated household survey (IHS), 2012;;2009;;2011;2008
21;BOL;Bolivia;Bolivia;Plurinational State of Bolivia;BO;Bolivian Boliviano;;Latin America & Caribbean;"Lower middle income; based on FY13 income classifications.";BO;1990;;Value added at basic prices (VAB);Blend;HIPC;Country uses the 1968 System of National Accounts methodology.;1960–85;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2012;Demographic and Health Survey (DHS), 2008;Integrated household survey (IHS), 2012;;2013;;2013;2000
22;BIH;Bosnia and Herzegovina;Bosnia and Herzegovina;Bosnia and Herzegovina;BA;Bosnia and Herzegovina convertible mark;"Based on official government statistics for chain linked series; the new reference year is 2010.";Europe & Central Asia;"Upper middle income; based on FY13 income classifications.";BA;Original chained constant price data are rescaled.;2010;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;General Data Dissemination System (GDDS);2013;Multiple Indicator Cluster Survey (MICS), 2011/12;Living Standards Measurement Study Survey (LSMS), 2007;Yes;;;2013;2012
23;BWA;Botswana;Botswana;Republic of Botswana;BW;Botswana pula;"Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.";Sub-Saharan Africa;"Upper middle income; based on FY13 income classifications.";BW;2006;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2011;Multiple Indicator Cluster Survey (MICS), 2000;Expenditure survey/budget survey (ES/BS), 2009/10;;2011. Population and Housing Census.;2011;2013;2000
24;BRA;Brazil;Brazil;Federative Republic of Brazil;BR;Brazilian real;;Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";BR;2000;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2010;World Health Survey (WHS), 2003;Integrated household survey (IHS), 2012;;2006;2011;2013;2010
25;BRN;Brunei;Brunei Darussalam;Brunei Darussalam;BN;Brunei dollar;;East Asia & Pacific;"High income: nonOECD; based on FY13 income classifications.";BN;2000;;Value added at producer prices (VAP);;;Country uses the 1993 System of National Accounts methodology.;;2011;;;Special trade system;;General Data Dissemination System (GDDS);2011;;;Yes;;;2013;1994
26;BGR;Bulgaria;Bulgaria;Republic of Bulgaria;BG;Bulgarian lev;The new reference year for chain linked series is 2010. April 2011 database update: The National Statistical Office revised national accounts data from 1995 onward. GDP in current prices were about 4 percent higher than previous estimates.;Europe & Central Asia;"Upper middle income; based on FY13 income classifications.";BG;Original chained constant price data are rescaled.;2010;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;1978–89, 1991–92;Rolling;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;Living Standards Measurement Study Survey (LSMS), 2007;Expenditure survey/budget survey (ES/BS), 2012;Yes;2010;2011;2013;2009
27;BFA;Burkina Faso;Burkina Faso;Burkina Faso;BF;CFA franc;;Sub-Saharan Africa;"Low income; based on FY13 income classifications.";BF;1999;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;1992–93;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2006;Malaria Indicator Survey (MIS), 2014;Core Welfare Indicator Questionnaire Survey (CWIQ), 2009;;2010;;2013;2005
28;BDI;Burundi;Burundi;Republic of Burundi;BI;Burundi franc;;Sub-Saharan Africa;"Low income; based on FY13 income classifications.";BI;2005;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;General Data Dissemination System (GDDS);2008;Malaria Indicator Survey (MIS), 2012;Core Welfare Indicator Questionnaire Survey (CWIQ), 2006;;;2010;2012;2000
29;CPV;Cabo Verde;Cabo Verde;Republic of Cabo Verde;CV;Cabo Verde escudo;"Cabo Verde is the new name for the country previously listed as Cape Verde. Based on official government statistics and IMF data, national accounts data have been revised from 1990 onward; the new base year is 2007.";Sub-Saharan Africa;"Lower middle income; based on FY13 income classifications.";CV;2007;;Value added at producer prices (VAP);Blend;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2010;Demographic and Health Survey (DHS), 2005;Core Welfare Indicator Questionnaire Survey (CWIQ), 2007;Yes;2014;;2013;2001
30;KHM;Cambodia;Cambodia;Kingdom of Cambodia;KH;Cambodian riel;;East Asia & Pacific;"Low income; based on FY13 income classifications.";KH;2000;;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2008;Demographic and Health Survey (DHS), 2014;Integrated household survey (IHS), 2011;;2013;;2013;2006
31;CMR;Cameroon;Cameroon;Republic of Cameroon;CM;CFA franc;;Sub-Saharan Africa;"Lower middle income; based on FY13 income classifications.";CM;2000;;Value added at basic prices (VAB);Blend;HIPC;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2005;Multiple Indicator Cluster Survey (MICS), 2014;Priority survey (PS), 2007;;;;2012;2000
32;CAN;Canada;Canada;Canada;CA;Canadian dollar;"Fiscal year end: March 31; reporting period for national accounts data: CY.";North America;"High income: OECD; based on FY13 income classifications.";CA;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;;Country uses the 2008 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;Labor force survey (LFS), 2010;Yes;2011;2011;2013;1986
33;CYM;Cayman Islands;Cayman Islands;Cayman Islands;KY;Cayman Islands dollar;;Latin America & Caribbean;"High income: nonOECD; based on FY13 income classifications.";KY;2007;;;;;Country uses the 1993 System of National Accounts methodology.;;2011;;;General trade system;;;2010;;;Yes;;;;
34;CAF;Central African Republic;Central African Republic;Central African Republic;CF;CFA franc;;Sub-Saharan Africa;"Low income; based on FY13 income classifications.";CF;2000;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2003;Multiple Indicator Cluster Survey (MICS), 2010;Priority survey (PS), 2008;;;;2011;2005
35;TCD;Chad;Chad;Republic of Chad;TD;CFA franc;"Based on IMF data, national accounts data have been revised for 2005 onward; the new base year is 2005.";Sub-Saharan Africa;"Low income; based on FY13 income classifications.";TD;2005;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Preliminary;Special trade system;;General Data Dissemination System (GDDS);2009;Demographic and Health Survey (DHS), 2014;Priority survey (PS), 2011;;2010/ 2011;;1995;2005
36;CHL;Chile;Chile;Republic of Chile;CL;Chilean peso;;Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";CL;2008;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2012;;Integrated household survey (IHS), 2011;Yes;2007;;2013;2006
37;CHN;China;China;People's Republic of China;CN;Chinese yuan;"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Based on data from the National Bureau of Statistics, the methodology for national accounts exports and imports of goods and services in constant prices have been revised from 2000 onward.";East Asia & Pacific;"Upper middle income; based on FY13 income classifications.";CN;2000;;Value added at producer prices (VAP);IBRD;;Country uses the 1993 System of National Accounts methodology.;1978–93;2011;IMF Balance of Payments Manual, 6th edition.;Preliminary;Special trade system;Consolidated central government;General Data Dissemination System (GDDS);2010;National Sample Survey on Population Change (NSS), 2013;Integrated household survey (IHS), 2012;;2007;2007;2013;2005
38;COL;Colombia;Colombia;Republic of Colombia;CO;Colombian peso;;Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";CO;2005;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;1992–94;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2006;Demographic and Health Survey (DHS), 2010;Integrated household survey (IHS), 2012;;2013;2011;2013;2008
39;COM;Comoros;Comoros;Union of the Comoros;KM;Comorian franc;;Sub-Saharan Africa;"Low income; based on FY13 income classifications.";KM;1990;;Value added at producer prices (VAP);IDA;HIPC;Country uses the 1968 System of National Accounts methodology.;;2011;;Actual;Special trade system;;General Data Dissemination System (GDDS);2003;Demographic and Health Survey (DHS), 2012;Integrated household survey (IHS), 2004;;;;2009;1999
40;COG;Congo;Congo, Rep.;Republic of Congo;CG;CFA franc;"April 2013 database update: Based on IMF data, national accounts data were revised for 1990 onward; the base year changed to 1990.";Sub-Saharan Africa;"Lower middle income; based on FY13 income classifications.";CG;1990;;Value added at producer prices (VAP);Blend;HIPC;Country uses the 1968 System of National Accounts methodology.;1993;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;General Data Dissemination System (GDDS);2007;Demographic and Health Survey (DHS), 2011/12;Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011;;2013;2009;2013;2002
41;CRI;Costa Rica;Costa Rica;Republic of Costa Rica;CR;Costa Rican colon;;Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";CR;1991;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;Multiple Indicator Cluster Survey (MICS), 2011;Integrated household survey (IHS), 2012;Yes;2014;2011;2013;2013
42;CIV;Côte d'Ivoire;Côte d'Ivoire;Republic of Côte d'Ivoire;CI;CFA franc;The new base year is 2009.;Sub-Saharan Africa;"Lower middle income; based on FY13 income classifications.";CI;2009;;Value added at producer prices (VAP);IDA;HIPC;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2014;Demographic and Health Survey (DHS), 2011/12;Integrated household survey (IHS), 2008;;2014;;2013;2005
43;HRV;Croatia;Croatia;Republic of Croatia;HR;Croatian kuna;The new reference year for chain linked series is 2010. April 2013 database update: Based on official government statistics, the base year for constant price series changed to 2005.;Europe & Central Asia;"High income: nonOECD; based on FY13 income classifications.";HR;Original chained constant price data are rescaled.;2010;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;World Health Survey (WHS), 2003;Integrated household survey (IHS), 2011;Yes;2010;;2013;2010
44;CUB;Cuba;Cuba;Republic of Cuba;CU;Cuban peso;;Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";CU;1997;2005;Value added at basic prices (VAB);;;Country uses the 1993 System of National Accounts methodology.;;2011;;;Special trade system;;;2012;Multiple Indicator Cluster Survey (MICS), 2014;;Yes;;;2006;2007
45;CUW;Curaçao;Curaçao;Curaçao;CW;Netherlands Antillean guilder;;Latin America & Caribbean;"High income: nonOECD; based on FY13 income classifications.";CW;;;;;;Country uses the 1993 System of National Accounts methodology.;;2011;;;;;;2011;;;Yes;;2010;;
46;CYP;Cyprus;Cyprus;Republic of Cyprus;CY;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: nonOECD; based on FY13 income classifications.";CY;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;Euro area;Country uses the 1993 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;;Yes;2010;2011;2013;2009
47;CZE;Czech Republic;Czech Republic;Czech Republic;CZ;Czech koruna;;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";CZ;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;World Health Survey (WHS), 2003;Integrated household survey (IHS), 2012;Yes;2010;2010;2013;2007
48;PRK;Dem. People's Rep. Korea;Korea, Dem. Rep.;Democratic People's Republic of Korea;KP;Democratic People's Republic of Korean won;;East Asia & Pacific;"Low income; based on FY13 income classifications.";KP;;;;;;Country uses the 1968 System of National Accounts methodology.;;;IMF Balance of Payments Manual, 6th edition.;;;;;2008;Multiple Indicator Cluster Survey (MICS), 2009;;;;;;2005
49;ZAR;Dem. Rep. Congo;Congo, Dem. Rep.;Democratic Republic of the Congo;CD;Congolese franc;"Based on official government statistics; the new base year 2005.";Sub-Saharan Africa;"Low income; based on FY13 income classifications.";ZR;2005;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1968 System of National Accounts methodology.;1999–2001;2011;IMF Balance of Payments Manual, 6th edition.;Preliminary;Special trade system;Consolidated central government;General Data Dissemination System (GDDS);1984;Demographic and Health Survey (DHS), 2013/14;1-2-3 survey (1-2-3), 2005/06;;;;;2005
50;DNK;Denmark;Denmark;Kingdom of Denmark;DK;Danish krone;;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";DK;2005;;Value added at basic prices (VAB);;;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;Income tax registers (ITR), 2010;Yes;2010;2010;2013;2009
51;DJI;Djibouti;Djibouti;Republic of Djibouti;DJ;Djibouti franc;;Middle East & North Africa;"Lower middle income; based on FY13 income classifications.";DJ;1990;;Value added at basic prices (VAB);IDA;;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;;General Data Dissemination System (GDDS);2009;Multiple Indicator Cluster Survey (MICS), 2006;Priority survey (PS), 2002;;;;2009;2000
52;DMA;Dominica;Dominica;Commonwealth of Dominica;DM;East Caribbean dollar;"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.";Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";DM;2006;;Value added at basic prices (VAB);Blend;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2011;;;Yes;;;2012;2004
53;DOM;Dominican Republic;Dominican Republic;Dominican Republic;DO;Dominican peso;;Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";DO;1991;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2010;Multiple Indicator Cluster Survey (MICS), 2014;Integrated household survey (IHS), 2012;;2012/13;;2012;2005
54;EAP;East Asia & Pacific (developing only);East Asia & Pacific;East Asia & Pacific (developing only);4E;;East Asia and Pacific regional aggregate (does not include high-income economies).;;;4E;;;;;;;;;;;;;;;;;;;;;
